ID,datetime,DOW,dow
43346,9/24/2012 16:10,MON,1
43346,9/25/2012 18:47,TUE,2
43346,9/26/2012 20:35,WED,3
43346,9/27/2012 19:58,THU,4
43346,9/28/2012 16:26,FRI,5
43346,9/29/2012 17:27,SAT,6
43346,9/30/2012 19:37,SUN,7
43346,10/1/2012 17:55,MON,1
43346,10/2/2012 18:12,TUE,2
43346,10/3/2012 15:40,WED,3
43346,10/4/2012 22:13,THU,4
43346,10/5/2012 16:01,FRI,5
43346,10/6/2012 18:43,SAT,6
43346,10/7/2012 15:32,SUN,7
43340,10/22/2012 15:53,MON,1
43340,10/23/2012 18:01,TUE,2
43340,10/24/2012 17:00,WED,3
43340,10/25/2012 15:54,THU,4
43340,10/26/2012 18:28,FRI,5
43340,10/27/2012 16:41,SAT,6
43340,10/28/2012 18:27,SUN,7
43340,10/29/2012 15:32,MON,1
43340,10/30/2012 15:26,TUE,2
43340,10/31/2012 17:55,WED,3
43340,11/1/2012 18:49,THU,4
43340,11/2/2012 18:20,FRI,5
43340,11/3/2012 20:00,SAT,6
43340,11/4/2012 17:30,SUN,7
43354,9/10/2012 15:34,MON,1
43354,9/11/2012 15:30,TUE,2
43354,9/12/2012 15:29,WED,3
43354,9/13/2012 15:29,THU,4
43354,9/14/2012 15:43,FRI,5
43354,9/15/2012 17:23,SAT,6
43354,9/16/2012 15:30,SUN,7
43354,9/17/2012 15:44,MON,1
43354,9/18/2012 15:34,TUE,2
43354,9/19/2012 15:29,WED,3
43354,9/20/2012 15:31,THU,4
43354,9/21/2012 17:07,FRI,5
43354,9/22/2012 15:29,SAT,6
43354,9/23/2012 19:02,SUN,7
43357,9/24/2012 15:57,MON,1
43357,9/25/2012 18:33,TUE,2
43357,9/27/2012 19:47,THU,4
43352,9/24/2012 16:06,MON,1
43352,9/25/2012 17:39,TUE,2
43352,9/26/2012 18:17,WED,3
43352,9/27/2012 20:57,THU,4
43352,9/28/2012 15:38,FRI,5
43352,9/29/2012 15:31,SAT,6
43352,9/30/2012 21:29,SUN,7
43352,10/2/2012 18:08,TUE,2
43352,10/3/2012 21:18,WED,3
43352,10/4/2012 19:44,THU,4
43352,10/5/2012 21:03,FRI,5
43352,10/6/2012 20:29,SAT,6
43352,10/7/2012 21:56,SUN,7
43358,10/22/2012 19:01,MON,1
43358,10/24/2012 20:52,WED,3
43358,10/25/2012 16:47,THU,4
43358,10/26/2012 18:27,FRI,5
43358,10/27/2012 18:19,SAT,6
43358,10/28/2012 16:07,SUN,7
43358,10/29/2012 20:43,MON,1
43358,10/30/2012 16:35,TUE,2
43358,11/1/2012 18:17,THU,4
43358,11/2/2012 15:36,FRI,5
43358,11/4/2012 17:59,SUN,7
43379,10/8/2012 19:21,MON,1
43379,10/9/2012 21:44,TUE,2
43379,10/11/2012 19:58,THU,4
43379,10/13/2012 23:18,SAT,6
43379,10/14/2012 20:18,SUN,7
43379,10/15/2012 21:26,MON,1
43379,10/16/2012 23:34,TUE,2
43379,10/17/2012 23:17,WED,3
43379,10/21/2012 0:02,SUN,7
43379,10/21/2012 23:40,SUN,7
43321,10/22/2012 17:47,MON,1
43321,10/23/2012 18:10,TUE,2
43321,10/24/2012 17:36,WED,3
43321,10/25/2012 16:50,THU,4
43321,10/26/2012 19:47,FRI,5
43321,10/27/2012 18:18,SAT,6
43321,10/28/2012 18:29,SUN,7
43321,10/29/2012 18:20,MON,1
43321,10/30/2012 18:04,TUE,2
43321,10/31/2012 18:40,WED,3
43321,11/1/2012 19:10,THU,4
43321,11/2/2012 19:29,FRI,5
43321,11/3/2012 18:58,SAT,6
43321,11/4/2012 18:43,SUN,7
43362,9/10/2012 15:33,MON,1
43362,9/11/2012 15:30,TUE,2
43362,9/12/2012 15:29,WED,3
43362,9/13/2012 15:29,THU,4
43362,9/14/2012 15:29,FRI,5
43362,9/15/2012 15:29,SAT,6
43362,9/16/2012 15:29,SUN,7
43362,9/17/2012 15:29,MON,1
43362,9/19/2012 15:29,WED,3
43362,9/20/2012 15:29,THU,4
43362,9/21/2012 15:29,FRI,5
43362,9/22/2012 15:29,SAT,6
43362,9/23/2012 15:28,SUN,7
43368,10/8/2012 15:28,MON,1
43368,10/9/2012 15:28,TUE,2
43368,10/10/2012 15:28,WED,3
43368,10/11/2012 15:29,THU,4
43368,10/12/2012 15:26,FRI,5
43368,10/13/2012 15:26,SAT,6
43368,10/14/2012 15:26,SUN,7
43368,10/15/2012 15:26,MON,1
43368,10/16/2012 15:31,TUE,2
43368,10/18/2012 15:26,THU,4
43368,10/21/2012 15:26,SUN,7
43381,10/22/2012 15:52,MON,1
43381,10/23/2012 18:00,TUE,2
43381,10/24/2012 17:33,WED,3
43381,10/25/2012 22:43,THU,4
43381,10/26/2012 16:15,FRI,5
43381,10/27/2012 15:40,SAT,6
43381,10/28/2012 18:38,SUN,7
43381,10/29/2012 15:37,MON,1
43381,10/30/2012 18:41,TUE,2
43381,10/31/2012 17:38,WED,3
43381,11/1/2012 18:57,THU,4
43381,11/2/2012 16:09,FRI,5
43381,11/3/2012 16:42,SAT,6
43381,11/4/2012 15:38,SUN,7
43397,9/24/2012 18:54,MON,1
43397,9/26/2012 21:05,WED,3
43397,9/27/2012 20:46,THU,4
43397,9/28/2012 22:34,FRI,5
43397,9/29/2012 17:08,SAT,6
43397,9/30/2012 15:57,SUN,7
43397,10/1/2012 19:03,MON,1
43397,10/2/2012 19:08,TUE,2
43397,10/3/2012 22:40,WED,3
43397,10/5/2012 1:52,FRI,5
43397,10/5/2012 22:58,FRI,5
43397,10/7/2012 0:33,SUN,7
43397,10/7/2012 19:19,SUN,7
43303,9/24/2012 21:07,MON,1
43303,9/25/2012 19:25,TUE,2
43303,9/30/2012 18:49,SUN,7
43303,10/1/2012 19:04,MON,1
43300,11/5/2012 15:30,MON,1
43300,11/6/2012 15:30,TUE,2
43300,11/7/2012 15:30,WED,3
43300,11/8/2012 15:30,THU,4
